,Industry,Job Title,Rating,Revenue,Sector,Size,Type of ownership,Hourly,Employer_Provided_Salary,min_salary,max_salary,average_salary,Company_Name,job_city,headquarter_city,same_city,age,python_req,rstudio_req,spark_req,aws_req,excel_req,tableau_req,machinelearning_req
127,Research & Development,Data Scientist (Polygraph Clearance),4.2,$1 to $2 billion (USD),Business Services,5001 to 10000 employees,Company - Public,0,0,70,116,93.0,ManTech,Chantilly,Herndon,0,52,0,0,0,0,0,0,1
128,Consulting,Reporting & Analytics Manager,5.0,Unknown / Non-Applicable,Business Services,51 to 200 employees,Company - Private,0,0,70,116,93.0,Mal Warwick Donordigital,Berkeley,Berkeley,1,41,0,0,0,0,1,1,0
129,Internet,Data Scientist,5.0,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,70,116,93.0,Grammarly,San Francisco,San Francisco,1,11,1,0,0,0,1,0,0
130,Health Care Services & Hospitals,Medical Laboratory Scientist/Med Lab Tech/Lab Core/FT/10:30am,3.7,Unknown / Non-Applicable,Health Care,1001 to 5000 employees,Nonprofit Organization,0,0,70,116,93.0,Children's Hospital & Medical Center - Omaha,Omaha,Omaha,1,72,0,0,0,0,0,0,0
131,Biotech & Pharmaceuticals,Associate Scientist / Sr. Associate Scientist - Immunology,4.4,Unknown / Non-Applicable,Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,70,116,93.0,23andMe,South San Francisco,Sunnyvale,0,14,0,0,0,1,1,0,0
132,Aerospace & Defense,Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,70,116,93.0,Lockheed Martin,Herndon,Bethesda,0,25,1,0,1,0,1,1,1
133,Biotech & Pharmaceuticals,Senior Data Scientist,3.1,$1 to $5 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,70,116,93.0,Benson Hill,Saint Louis,Saint Louis,1,8,1,0,0,0,1,0,1
134,Insurance Carriers,"Data Engineer (Analytics, SQL, Python, AWS)",4.1,$10+ billion (USD),Insurance,10000+ employees,Company - Public,0,0,70,116,93.0,Travelers,Hartford,Hartford,1,167,1,0,1,1,0,0,0
135,IT Services,Computational Scientist,3.5,$10+ billion (USD),Information Technology,10000+ employees,Subsidiary or Business Segment,0,0,70,116,93.0,General Dynamics Information Technology,Stennis Space Center,Fairfax,0,24,1,0,0,0,0,0,0
136,Insurance Agencies & Brokerages,Data Engineer II,3.8,Unknown / Non-Applicable,Insurance,501 to 1000 employees,Company - Private,0,0,70,116,93.0,Spring Venture Group,Kansas City,Kansas City,1,11,1,0,1,1,0,0,0
137,Banks & Credit Unions,Data Analyst,3.4,$1 to $2 billion (USD),Finance,1001 to 5000 employees,Subsidiary or Business Segment,0,0,70,116,93.0,Midland Credit Management,San Diego,San Diego,1,67,0,0,0,0,1,0,0
138,Biotech & Pharmaceuticals,Portfolio & Analytics Manager,3.5,$1 to $2 billion (USD),Biotech & Pharmaceuticals,5001 to 10000 employees,Company - Public,0,0,70,116,93.0,Sartorius,Ann Arbor,Gottingen,0,150,0,0,0,0,1,0,0
139,Aerospace & Defense,Data Engineer,4.1,$100 to $500 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,70,116,93.0,AEgis Technologies,Colorado Springs,Huntsville,0,31,1,0,0,1,0,0,0
140,Enterprise Software & Network Solutions,Tableau Data Engineer 20-0117,3.7,Unknown / Non-Applicable,Information Technology,1001 to 5000 employees,Company - Private,0,0,70,116,93.0,Relativity,Chicago,Chicago,1,19,0,0,1,0,1,1,0
141,Computer Hardware & Software,Senior Data Scientist,4.6,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Private,0,0,70,116,93.0,Strivr,Los Angeles,Palo Alto,0,5,1,0,0,0,0,0,1
142,IT Services,Data Engineer,4.1,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,70,116,93.0,Cervello Inc,Boston,Boston,1,11,1,0,1,1,1,0,1
143,Biotech & Pharmaceuticals,Scientist - Biomarker and Flow Cytometry,2.4,$50 to $100 million (USD),Biotech & Pharmaceuticals,501 to 1000 employees,Company - Private,0,0,70,116,93.0,Crown Bioscience,San Diego,San Diego,1,14,0,0,0,0,0,0,0
144,Computer Hardware & Software,Data Architect,3.6,$500 million to $1 billion (USD),Information Technology,1001 to 5000 employees,Company - Public,0,0,70,116,93.0,Blackbaud,Saint Paul,Charleston,0,39,1,0,1,0,1,0,1
145,-1,Business Data Engineer,-1.0,-1,-1,-1,-1,0,0,70,116,93.0,ConvergeMarketing,Mount Kisco,-1,0,-1,1,0,0,1,0,1,0
146,-1,Senior Data Scientist,3.5,$10+ billion (USD),-1,10000+ employees,Company - Public,0,0,70,116,93.0,Magna International Inc.,Troy,Aurora,0,63,1,0,0,0,1,0,1
147,Staffing & Outsourcing,Data Scientist - Intermediate,4.5,$25 to $50 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,70,116,93.0,Envision LLC,Saint Louis,Saint Louis,1,26,1,0,0,0,0,0,1
148,Staffing & Outsourcing,Data Scientist,3.4,$5 to $10 billion (USD),Business Services,5001 to 10000 employees,Company - Public,0,0,70,116,93.0,Kelly,Morrisville,Troy,0,74,0,0,0,0,0,0,1
149,Lending,Data Scientist,3.2,Unknown / Non-Applicable,Finance,501 to 1000 employees,Company - Private,0,0,70,116,93.0,Avant,Chicago,Chicago,1,8,1,0,0,0,0,0,1
151,Enterprise Software & Network Solutions,Sr. Data Analyst - Growth & Adoption,3.9,$100 to $500 million (USD),Information Technology,1001 to 5000 employees,Company - Private,0,0,70,116,93.0,Risk Management Solutions (RMS),Newark,Newark,1,31,1,0,0,0,1,1,0
152,Lending,"Senior Data Engineer (San Francisco, CA)",3.9,Unknown / Non-Applicable,Finance,51 to 200 employees,Subsidiary or Business Segment,0,0,70,116,93.0,Earnest,San Francisco,San Francisco,1,7,1,0,1,0,0,1,1
153,Internet,Data Scientist,4.2,$50 to $100 million (USD),Information Technology,201 to 500 employees,Company - Public,0,0,70,116,93.0,Schrödinger,Portland,Portland,1,30,1,0,0,0,1,0,0
154,IT Services,Data Engineer,5.0,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,70,116,93.0,Maestro Technologies,Wilmington,Trenton,0,17,1,0,1,0,1,0,0
155,Banks & Credit Unions,Operations Specialist or Senior Associate (Operational Data Scientist and Innovation Specialist or Senior Associate),3.6,$10+ billion (USD),Finance,1001 to 5000 employees,Other Organization,0,0,70,116,93.0,Inter-American Development Bank,Washington,Washington,1,61,0,0,0,0,1,0,0
156,Biotech & Pharmaceuticals,"Sr. Data Scientist - Chicago, IL",4.2,$2 to $5 billion (USD),Biotech & Pharmaceuticals,10000+ employees,Company - Private,0,0,70,116,93.0,bioMérieux,Chicago,Marcy-l'Etoile,0,57,1,0,0,0,1,0,1
157,Health Care Services & Hospitals,"Clinical Lab Scientist - Microbiologist (Full-Time, Varied)",2.3,$25 to $50 million (USD),Health Care,201 to 500 employees,Hospital,0,0,70,116,93.0,Healdsburg District Hospital,Healdsburg,Healdsburg,1,115,0,0,0,0,1,0,0
158,Insurance Carriers,Senior Research Statistician- Data Scientist,4.8,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,Acuity Insurance,Sheboygan,Sheboygan,1,95,0,0,0,0,0,0,0
159,Federal Agencies,Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,99,110,104.5,MITRE,McLean,Bedford,0,62,1,0,0,0,1,1,1
160,Banks & Credit Unions,Corporate Risk Data Analyst I or II (SQL Based) - Milwaukee or Green Bay,3.6,$1 to $2 billion (USD),Finance,1001 to 5000 employees,Company - Public,0,0,99,110,104.5,Associated Bank,Milwaukee,Green Bay,0,150,0,0,0,1,1,0,0
161,Biotech & Pharmaceuticals,20-0031 RD Associate Scientist 1,4.1,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,99,110,104.5,Streck,La Vista,La Vista,1,49,0,0,0,1,1,0,0
163,Health Care Services & Hospitals,Developer I - Data Science,3.3,$1 to $2 billion (USD),Health Care,1001 to 5000 employees,Company - Public,0,0,99,110,104.5,Inland Empire Health Plan,Rancho Cucamonga,Rancho Cucamonga,1,24,1,0,1,0,1,1,1
164,Industrial Manufacturing,Business Intelligence Analyst,3.7,$5 to $10 billion (USD),Manufacturing,10000+ employees,Company - Public,0,0,99,110,104.5,Rockwell Automation,Milwaukee,Milwaukee,1,117,0,0,0,0,0,0,0
165,Vehicle Dealers,"Manager, Data Science",3.3,$10+ billion (USD),Retail,10000+ employees,Company - Public,0,0,99,110,104.5,CarMax,Richmond,Richmond,1,27,1,0,0,0,0,0,1
166,Automotive Parts & Accessories Stores,Principal Data Scientist,4.0,$2 to $5 billion (USD),Retail,10000+ employees,Company - Private,0,0,99,110,104.5,Discount Tire,Scottsdale,Scottsdale,1,60,1,0,0,0,1,0,0
167,Aerospace & Defense,Computer Scientist 1,4.3,$50 to $100 million (USD),Aerospace & Defense,201 to 500 employees,Company - Private,0,0,99,110,104.5,Rincon Research Corporation,Melbourne,Tucson,0,37,1,0,0,0,0,0,1
168,Enterprise Software & Network Solutions,Data Scientist,3.9,Unknown / Non-Applicable,Information Technology,501 to 1000 employees,Company - Private,0,0,99,110,104.5,"TraceLink, Inc.",North Reading,North Reading,1,11,1,0,0,0,0,0,1
169,Insurance Carriers,Personal Lines Product and Data Analyst,3.4,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,West Bend Mutual Insurance Co.,West Bend,West Bend,1,126,0,0,0,0,1,0,0
170,Video Games,Senior Data Scientist,4.0,Unknown / Non-Applicable,Media,501 to 1000 employees,Company - Private,0,0,99,110,104.5,Jam City,Culver City,Los Angeles,0,10,1,0,1,0,0,0,0
171,Consulting,Data Engineer,4.4,Unknown / Non-Applicable,Business Services,501 to 1000 employees,Company - Private,0,0,99,110,104.5,E3 Federal Solutions,Chantilly,McLean,0,16,1,0,0,0,0,0,0
172,Insurance Carriers,Data Engineer,3.3,$100 to $500 million (USD),Insurance,201 to 500 employees,Company - Private,0,0,99,110,104.5,Americo Life,Kansas City,Kansas City,1,28,1,0,1,1,1,0,0
173,Aerospace & Defense,Data Engineer / Scientist,3.6,$2 to $5 billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,99,110,104.5,CACI International,McLean,Arlington,0,58,1,0,0,0,1,0,1
174,Lending,Director of Data Science and Analytics,4.0,Unknown / Non-Applicable,Finance,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,National Debt Relief,New York,New York,1,11,1,0,0,0,1,0,1
175,Advertising & Marketing,Senior Data Analyst,4.0,$50 to $100 million (USD),Business Services,201 to 500 employees,Company - Private,0,0,99,110,104.5,Wpromote,Melville,El Segundo,0,19,0,0,0,0,1,1,0
176,Banks & Credit Unions,Senior Data Modeler,3.4,$100 to $500 million (USD),Finance,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,First Tech Federal Credit Union,Rocklin,Hillsboro,0,68,0,1,0,0,1,0,0
177,Staffing & Outsourcing,Senior Data Engineer,4.5,$100 to $500 million (USD),Business Services,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,CHG Healthcare,Midvale,Midvale,1,41,0,0,0,1,0,0,0
178,Utilities,Data Integration and Modeling Engineer,3.8,Unknown / Non-Applicable,"Oil, Gas, Energy & Utilities",501 to 1000 employees,Nonprofit Organization,0,0,99,110,104.5,ISO New England,Holyoke,Holyoke,1,23,0,0,0,0,1,0,0
179,Insurance Carriers,Sr Data Scientist,3.1,Unknown / Non-Applicable,Insurance,1001 to 5000 employees,Nonprofit Organization,0,0,99,110,104.5,Healthfirst,New York,New York,1,27,0,0,0,1,0,0,1
180,Enterprise Software & Network Solutions,Data Scientist,2.2,$1 to $5 million (USD),Information Technology,1 to 50 employees,Company - Private,0,0,99,110,104.5,Great-Circle Technologies,Chantilly,Chantilly,1,20,1,0,1,1,1,0,1
181,Consumer Products Manufacturing,E-Commerce Strategy and Analytics Manager (f/m/d),3.7,$10+ billion (USD),Manufacturing,10000+ employees,Company - Public,0,0,99,110,104.5,Essity,Praha,Stockholm,0,91,1,0,0,0,1,0,1
182,Insurance Agencies & Brokerages,Data Engineer III,3.8,Unknown / Non-Applicable,Insurance,501 to 1000 employees,Company - Private,0,0,99,110,104.5,Spring Venture Group,Kansas City,Kansas City,1,11,1,0,1,1,0,0,0
183,IT Services,Machine Learning Engineer,4.4,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,99,110,104.5,NuWave Solutions,Springfield,Mc Lean,0,21,1,0,1,1,0,0,1
184,Insurance Carriers,Senior Data Scientist,3.5,$10 to $25 million (USD),Insurance,1001 to 5000 employees,Company - Private,0,0,99,110,104.5,Plymouth Rock Assurance,Woodbridge,Boston,0,38,0,0,0,0,1,0,0
185,Health Care Services & Hospitals,Medical Laboratory Scientist,3.4,$2 to $5 billion (USD),Health Care,10000+ employees,Nonprofit Organization,0,0,99,110,104.5,Lutheran Medical Center,Wheat Ridge,Broomfield,0,156,0,0,0,0,1,0,0
186,Construction,SQL Developer/Data Analyst,3.9,$100 to $500 million (USD),"Construction, Repair & Maintenance",501 to 1000 employees,Company - Private,0,0,99,110,104.5,Corbins Electric,Phoenix,Phoenix,1,45,0,0,0,0,1,0,0
187,Venture Capital & Private Equity,Data Engineer,4.4,$50 to $100 million (USD),Finance,201 to 500 employees,Company - Private,0,0,99,110,104.5,Resurgent Capital Services,Cincinnati,Greenville,0,22,1,0,0,1,1,0,0
188,Education Training Services,Data Scientist - Insights,4.4,Unknown / Non-Applicable,Education,501 to 1000 employees,Company - Private,0,0,99,110,104.5,Udemy,San Francisco,San Francisco,1,10,1,0,0,0,0,1,0
189,Stock Exchanges,Machine Learning Engineer - Regulatory,3.7,$500 million to $1 billion (USD),Finance,501 to 1000 employees,Company - Public,0,0,99,110,104.5,Cboe Global Markets,Lenexa,Chicago,0,47,1,0,0,0,1,0,1
190,Aerospace & Defense,Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,65,114,89.5,Northrop Grumman,Hill AFB,Falls Church,0,81,1,0,0,0,0,0,1
191,Biotech & Pharmaceuticals,Data Scientist,3.9,Unknown / Non-Applicable,Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,65,114,89.5,MMIT,Yardley,Yardley,1,26,0,0,0,0,1,1,1
192,Sports & Recreation,Data Analyst,3.8,Unknown / Non-Applicable,"Arts, Entertainment & Recreation",501 to 1000 employees,Company - Private,0,0,65,114,89.5,NCSA - Next College Student Athlete,Chicago,Chicago,1,20,0,0,0,1,1,1,0
193,Aerospace & Defense,Principal Data Scientist / Sr. Principal Data Scientist,3.8,$10+ billion (USD),Aerospace & Defense,10000+ employees,Company - Public,0,0,65,114,89.5,Northrop Grumman,San Jose,Falls Church,0,81,1,0,0,0,0,0,1
194,Biotech & Pharmaceuticals,Sr Scientist - Extractables & Leachables,3.6,$100 to $500 million (USD),Biotech & Pharmaceuticals,201 to 500 employees,Company - Private,0,0,65,114,89.5,Ritedose,Columbia,Columbia,1,25,0,0,0,0,1,0,0
195,Insurance Carriers,Data Analyst I - Junior,3.0,$2 to $5 billion (USD),Insurance,5001 to 10000 employees,Company - Public,0,0,65,114,89.5,National General Insurance,Orlando,New York,0,81,1,0,0,0,1,0,0
196,Federal Agencies,Aviation Data Scientist and Machine Learning Engineer,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,65,114,89.5,MITRE,McLean,Bedford,0,62,1,0,1,0,1,1,1
197,Internet,Data Architect,3.9,Unknown / Non-Applicable,Information Technology,51 to 200 employees,Company - Public,0,0,65,114,89.5,Life360,San Francisco,San Francisco,1,12,1,0,1,1,0,0,0
199,Biotech & Pharmaceuticals,Clinical Laboratory Scientist - Future Opportunities,3.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1001 to 5000 employees,Company - Private,0,0,65,114,89.5,Q2 Solutions,Valencia,Morrisville,0,5,0,0,0,0,1,0,0
200,IT Services,Principal Data Scientist with over 10 years experience,-1.0,$5 to $10 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,65,114,89.5,CA-One Tech Cloud,San Francisco,Fremont,0,3,1,0,0,1,1,1,1
201,Oil & Gas Exploration & Production,Environmental Scientist/Engineer,4.4,$50 to $100 million (USD),"Oil, Gas, Energy & Utilities",501 to 1000 employees,Company - Private,0,0,65,114,89.5,Trihydro,Tulsa,Laramie,0,36,0,0,0,0,1,0,0
202,Federal Agencies,Lead AI Data Scientist,3.3,$1 to $2 billion (USD),Government,5001 to 10000 employees,Nonprofit Organization,0,0,65,114,89.5,MITRE,McLean,Bedford,0,62,1,0,0,0,0,0,1
203,Lending,"Technology-Minded, Data Professional Opportunities",4.8,Unknown / Non-Applicable,Finance,1001 to 5000 employees,Company - Private,0,0,65,114,89.5,Veterans United Home Loans,Columbia,Columbia,1,18,0,0,1,0,1,1,0
204,Investment Banking & Asset Management,"Risk and Analytics IT, Data Scientist",2.9,$50 to $100 million (USD),Finance,51 to 200 employees,Government,0,0,65,114,89.5,State of Wisconsin Investment Board,Madison,Madison,1,69,1,0,0,0,0,1,0
205,Aerospace & Defense,Data Engineer,4.5,$100 to $500 million (USD),Aerospace & Defense,1001 to 5000 employees,Company - Private,0,0,65,114,89.5,"Torch Technologies, Inc.",Colorado Springs,Huntsville,0,18,1,0,0,1,0,0,0
206,Architectural & Engineering Services,Mid-Level Ecologist/Biologist/Wetland Scientist,4.0,$100 to $500 million (USD),Business Services,501 to 1000 employees,Company - Private,0,0,65,114,89.5,GZA GeoEnvironmental,Syracuse,Norwood,0,56,0,0,0,0,0,0,0
207,IT Services,"Extract, Transform, Load (ETL) Data Engineer, Mid Level (51-2)",4.4,$10 to $25 million (USD),Information Technology,51 to 200 employees,Company - Private,0,0,65,114,89.5,FREEDOM CONSULTING GROUP,Springfield,Columbia,0,16,0,0,0,1,1,0,0
208,-1,Big Data Engineer,4.0,Unknown / Non-Applicable,-1,Unknown,Unknown,0,0,65,114,89.5,"Meridian Technologies, Inc",Seattle,Farmington Hills,0,-1,1,0,1,1,1,0,1
209,Health Care Services & Hospitals,Associate Clinical Scientist,4.2,$100 to $500 million (USD),Health Care,501 to 1000 employees,Company - Public,0,0,65,114,89.5,"Tabula Rasa HealthCare, Inc",Orlando,Moorestown,0,11,0,0,0,0,0,0,0
210,Health Care Services & Hospitals,Medical Lab Scientist,3.5,Unknown / Non-Applicable,Health Care,5001 to 10000 employees,Nonprofit Organization,0,0,65,114,89.5,Tower Health,West Grove,Reading,0,3,0,0,0,0,0,0,0
211,Biotech & Pharmaceuticals,Real World Evidence (RWE) Scientist,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,1 to 50 employees,Company - Private,0,0,65,114,89.5,Genesis Research,Hoboken,Hoboken,1,11,1,0,0,0,0,0,0
212,Biotech & Pharmaceuticals,Senior Data Scientist,5.0,Unknown / Non-Applicable,Biotech & Pharmaceuticals,51 to 200 employees,Company - Private,0,0,65,114,89.5,EQRx,Cambridge,Cambridge,1,1,1,0,0,0,1,0,1
213,Food & Beverage Manufacturing,Food Scientist - Developer,3.3,Unknown / Non-Applicable,Manufacturing,501 to 1000 employees,Company - Private,0,0,65,114,89.5,Palermo's Pizza,Milwaukee,Milwaukee,1,56,0,0,0,0,0,0,0
214,Insurance Carriers,Sr. Data Scientist II,3.5,$1 to $2 billion (USD),Insurance,1001 to 5000 employees,Company - Public,0,0,65,114,89.5,Argo Group US,New York,Hamilton,0,72,1,0,1,1,0,0,0
215,Advertising & Marketing,Senior Data Scientist,3.6,Unknown / Non-Applicable,Business Services,1001 to 5000 employees,Company - Private,0,0,65,114,89.5,TRANZACT,Fort Lee,Fort Lee,1,31,1,0,0,0,1,1,1
217,Internet,"Senior Data Scientist, Programmatic",3.6,Unknown / Non-Applicable,Information Technology,201 to 500 employees,Company - Private,0,0,65,114,89.5,DoubleVerify,New York,New York,1,12,1,0,1,1,0,0,1
218,Health Care Services & Hospitals,Data Engineer - Machine Learning,3.3,$500 million to $1 billion (USD),Health Care,1001 to 5000 employees,Company - Private,0,0,65,114,89.5,Johns Hopkins Health Care,Hanover,Baltimore,0,131,1,0,1,1,0,0,1
220,General Repair & Maintenance,Marketing Data Analyst,4.1,$50 to $100 million (USD),"Construction, Repair & Maintenance",201 to 500 employees,Company - Private,0,0,65,114,89.5,"Window Nation, LLC",Fulton,Glen Burnie,0,14,0,0,0,0,1,0,0
221,Financial Transaction Processing,Data Engineer,2.5,$100 to $500 million (USD),Finance,201 to 500 employees,Company - Private,0,0,65,114,89.5,Purchasing Power,Atlanta,Atlanta,1,19,1,0,1,1,1,1,0
